file,fps,frame_index,method,blind_sigma_dn,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_reference_dn,gradient_mae_to_temporal_reference
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,input,3.160559,197.182449,3.596844,3.033172,11.475459
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,3.160559,197.175827,1.104662,0.000000,0.000000
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,blind_bm3d,3.160559,197.175385,0.502873,1.127386,3.782872
Video_20260712095254594_w1920_h1200_pMono10_f10.raw,10,10,ptc_vst_bm3d,3.160559,197.160370,0.070604,0.957613,4.003173
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,input,3.938002,164.578445,3.082722,5.172838,11.981644
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,temporal_trimmed_mean,3.938002,164.550247,1.505643,0.000000,0.000000
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,blind_bm3d,3.938002,164.557755,0.173072,4.395585,5.860528
Video_20260712095543069_w1920_h1200_pMono10_f0.25.raw,0.25,10,ptc_vst_bm3d,3.938002,164.540054,0.099052,4.396333,6.243849
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,input,6.376562,538.174316,7.465292,5.725335,20.533522
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,temporal_trimmed_mean,6.376562,538.169067,2.861639,0.000000,0.000000
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,blind_bm3d,6.376562,538.171936,1.032587,2.350441,8.653435
Video_20260712094756507_w1920_h1200_pMono10_f3.raw,3,10,ptc_vst_bm3d,6.376562,538.157227,0.367037,2.246123,9.436586
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,input,4.179084,207.318253,3.948124,3.275011,12.346239
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,4.179084,207.312698,1.323171,0.000000,0.000000
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,blind_bm3d,4.179084,207.317947,0.220455,1.129589,4.438374
Video_20260712094907104_w1920_h1200_pMono10_f10.raw,10,10,ptc_vst_bm3d,4.179084,207.306686,0.097774,1.099379,4.698317
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,input,5.241711,319.471283,5.291984,4.473769,16.499033
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,5.241711,319.465271,1.802641,0.000000,0.000000
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,blind_bm3d,5.241711,319.469940,0.330807,1.928735,7.914870
Video_20260712100510569_w1920_h1200_pMono10_f10.raw,10,10,ptc_vst_bm3d,5.241711,319.452179,0.202244,1.885888,7.950991
